,data,name
7,2.86,TypeScript
7,2.41,TypeScript
7,1.29,TypeScript
7,2.2,TypeScript
7,1.13,TypeScript
7,2.75,TypeScript
7,2.6,TypeScript
7,1.93,TypeScript
7,1.68,TypeScript
7,1.89,TypeScript
7,2.29,TypeScript
7,2.63,TypeScript
7,2.13,TypeScript
7,2.23,TypeScript
7,2.58,TypeScript
7,2.11,TypeScript
7,2.61,TypeScript
7,2.67,TypeScript
7,3.06,TypeScript
7,2.94,TypeScript
7,3.33,TypeScript
7,3.44,TypeScript
7,3.36,TypeScript
7,3.55,TypeScript
7,3.68,TypeScript
8,0.96,PHP
8,0.74,PHP
8,0.83,PHP
8,0.93,PHP
8,1.21,PHP
8,1.44,PHP
8,1.32,PHP
8,1.21,PHP
8,1.33,PHP
8,1.27,PHP
8,1.27,PHP
8,1.26,PHP
8,1.47,PHP
8,1.33,PHP
8,1.42,PHP
8,1.51,PHP
8,1.61,PHP
8,1.7,PHP
8,1.63,PHP
8,1.72,PHP
8,1.96,PHP
8,1.71,PHP
8,1.77,PHP
8,1.96,PHP
8,2.07,PHP
8,2.13,PHP
8,1.96,PHP
8,2.19,PHP
8,2.14,PHP
8,2.33,PHP
8,2.38,PHP
8,2.4,PHP
8,2.2,PHP
8,2.35,PHP
8,2.3,PHP
8,2.21,PHP
8,2.25,PHP
8,2.34,PHP
8,2.32,PHP
8,2.29,PHP
8,2.29,PHP
8,2.42,PHP
8,2.24,PHP
8,2.48,PHP
8,2.4,PHP
9,1.28,C
9,1.17,C
9,1.21,C
9,1.3,C
9,1.12,C
9,1.42,C
9,1.47,C
9,1.64,C
9,1.35,C
9,1.6,C
9,1.84,C
9,1.65,C
9,1.8,C
9,1.7,C
9,1.83,C
9,1.65,C
9,1.74,C
9,1.69,C
9,1.86,C
9,1.7,C
9,1.9,C
9,1.93,C
9,1.89,C
9,2.05,C
9,2.09,C
9,1.98,C
9,2.16,C
9,2.34,C
9,2.2,C
9,2.28,C
9,2.44,C
9,2.35,C
9,2.44,C
9,2.28,C
9,2.42,C
9,2.25,C
9,2.33,C
9,2.33,C
9,2.29,C
9,2.24,C
9,2.35,C
9,2.45,C
9,2.32,C
9,2.47,C
9,2.48,C
10,1.43,HTML
10,1.02,HTML
10,1.02,HTML
10,1.14,HTML
10,1.01,HTML
10,1.46,HTML
10,1.44,HTML
10,1.64,HTML
10,1.67,HTML
10,1.86,HTML
10,1.81,HTML
10,1.63,HTML
10,2.12,HTML
10,2.18,HTML
10,2.11,HTML
10,1.89,HTML
10,2.01,HTML
10,2.4,HTML
10,2.1,HTML
10,2.25,HTML
10,2.26,HTML
10,2.74,HTML
10,3.05,HTML
10,3.4,HTML
10,3.69,HTML
10,3.68,HTML
10,4.05,HTML
10,4.25,HTML
10,5.21,HTML
10,5.04,HTML
10,5.51,HTML
10,5.56,HTML
10,5.57,HTML
10,5.53,HTML
10,5.47,HTML
10,5.71,HTML
10,5.94,HTML
10,5.59,HTML
10,5.61,HTML
10,6.06,HTML
10,5.97,HTML
10,5.81,HTML
10,5.79,HTML
10,5.6,HTML
10,5.66,HTML
11,1.88,CSS
11,2.2,CSS
11,1.57,CSS
11,2.74,CSS
11,1.21,CSS
11,1.63,CSS
11,2.08,CSS
11,2.71,CSS
11,2.99,CSS
11,3.04,CSS
11,3.0,CSS
11,2.2,CSS
11,1.91,CSS
11,2.43,CSS
11,2.17,CSS
11,2.71,CSS
11,2.23,CSS
11,2.76,CSS
11,2.72,CSS
11,2.68,CSS
11,3.08,CSS
11,3.48,CSS
11,3.62,CSS
11,4.19,CSS
11,4.42,CSS
11,4.29,CSS
11,5.02,CSS
11,5.23,CSS
11,4.49,CSS
11,4.84,CSS
11,4.8,CSS
11,4.97,CSS
11,5.12,CSS
11,4.96,CSS
11,4.92,CSS
11,4.91,CSS
11,5.07,CSS
11,5.12,CSS
11,5.27,CSS
11,5.56,CSS
11,5.33,CSS
11,5.16,CSS
11,5.28,CSS
11,5.19,CSS
11,4.87,CSS
12,0.0,Jupyter
12,,Jupyter
12,,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,0.0,Jupyter
12,5.26,Jupyter
12,4.55,Jupyter
12,6.67,Jupyter
12,4.35,Jupyter
12,3.33,Jupyter
12,2.86,Jupyter
12,2.06,Jupyter
12,4.85,Jupyter
12,5.07,Jupyter
12,4.56,Jupyter
12,2.94,Jupyter
12,4.75,Jupyter
12,8.53,Jupyter
12,5.66,Jupyter
12,5.17,Jupyter
12,4.91,Jupyter
12,6.27,Jupyter
12,6.35,Jupyter
12,7.35,Jupyter
12,7.32,Jupyter
12,8.69,Jupyter
12,7.05,Jupyter
12,5.96,Jupyter
12,5.4,Jupyter
12,6.07,Jupyter
12,5.58,Jupyter
12,5.72,Jupyter
12,5.63,Jupyter
12,5.89,Jupyter
12,7.03,Jupyter
12,6.69,Jupyter
12,6.47,Jupyter
12,6.44,Jupyter
13,0.69,Shell
13,0.89,Shell
13,1.21,Shell
13,1.34,Shell
13,0.97,Shell
13,0.97,Shell
13,0.58,Shell
13,0.55,Shell
13,0.78,Shell
13,1.01,Shell
13,1.34,Shell
13,1.2,Shell
13,1.44,Shell
13,1.28,Shell
13,1.41,Shell
13,1.28,Shell
13,1.61,Shell
13,1.38,Shell
13,1.51,Shell
13,1.52,Shell
13,1.66,Shell
13,1.7,Shell
13,1.56,Shell
13,1.39,Shell
13,1.73,Shell
13,1.71,Shell
13,1.69,Shell
13,1.85,Shell
13,2.1,Shell
13,2.05,Shell
13,1.93,Shell
13,1.86,Shell
13,1.82,Shell
13,1.84,Shell
13,1.87,Shell
13,1.65,Shell
13,1.73,Shell
13,1.88,Shell
13,1.92,Shell
13,1.85,Shell
13,2.06,Shell
13,2.1,Shell
13,2.21,Shell
13,2.31,Shell
13,2.24,Shell
14,0.0,Objective-C
14,0.67,Objective-C
14,0.54,Objective-C
14,1.67,Objective-C
14,1.56,Objective-C
14,0.8,Objective-C
14,0.66,Objective-C
14,1.87,Objective-C
14,0.97,Objective-C
14,0.83,Objective-C
14,0.83,Objective-C
14,1.48,Objective-C
14,1.19,Objective-C
14,1.63,Objective-C
14,1.63,Objective-C
14,1.69,Objective-C
14,1.75,Objective-C
14,1.79,Objective-C
14,1.51,Objective-C
14,1.37,Objective-C
14,1.53,Objective-C
14,1.26,Objective-C
14,1.52,Objective-C
14,1.94,Objective-C
14,2.05,Objective-C
14,2.6,Objective-C
14,2.58,Objective-C
14,2.23,Objective-C
14,2.61,Objective-C
14,2.86,Objective-C
14,2.42,Objective-C
14,2.93,Objective-C
14,2.36,Objective-C
14,2.2,Objective-C
14,2.17,Objective-C
14,2.03,Objective-C
14,2.35,Objective-C
14,2.42,Objective-C
14,2.09,Objective-C
14,2.31,Objective-C
14,2.42,Objective-C
14,2.71,Objective-C
14,2.45,Objective-C
14,2.49,Objective-C
14,2.55,Objective-C
